"['QD', 'AD']",Win,3
"['KH', 'JD']",Win,2
"['2S', '4S']",Loss,2
"['4S', '8S']",Loss,2
"['KC', '3S']",Loss,0
"['AH', 'TH']",Win,3
"['6D', 'KS']",Win,3
"['AC', 'TH']",Loss,0
"['JC', 'KC']",Loss,0
"['TC', 'QH']",Loss,3
"['AC', '9C']",Loss,0
"['KD', 'QC']",Win,3
"['JC', '5S']",Win,2
"['AC', '7D']",Loss,0
"['8C', 'TS']",Loss,2
"['6C', '9H']",Loss,0
"['5D', '3D']",Win,4
"['2S', '5C']",Loss,0
"['AC', '3C']",Loss,0
"['4H', '3H']",Win,5
"['AS', '4C']",Loss,0
"['9S', '4H']",Loss,2
"['KC', '2C']",Win,7
"['KS', '7C']",Loss,2
"['AD', '2H']",Win,0
"['QD', 'KS']",Loss,2
"['JC', 'JS']",Win,3
"['8H', 'JS']",Loss,0
"['3H', 'KS']",Tie,3
"['6H', 'KD']",Loss,0
"['JH', '2C']",Loss,2
"['3S', '8S']",Win,2
"['AC', 'TC']",Loss,0
"['KD', '9D']",Win,3
"['AS', 'QD']",Win,3
"['9C', '2D']",Loss,2
"['QS', '8C']",Win,3
"['KC', 'KS']",Win,3
"['7C', 'AS']",Loss,0
"['8H', 'JC']",Win,6
"['5D', '4S']",Loss,0
"['3D', '2S']",Loss,2
"['2D', '7C']",Loss,3
"['3S', '2H']",Win,5
"['KC', '3D']",Tie,2
"['JD', '4C']",Win,3
"['9C', '7S']",Win,2
"['KH', 'AS']",Loss,0
"['KS', 'TC']",Win,2
"['8C', 'TD']",Win,2
"['6H', '6S']",Loss,2
"['AS', 'JC']",Loss,2
"['4C', '4S']",Loss,2
"['QC', '2D']",Loss,3
"['5C', '2D']",Loss,0
"['4H', 'KS']",Loss,2
"['KD', 'AD']",Loss,3
"['KD', '3C']",Loss,0
"['3S', '3C']",Tie,6
"['5C', '3S']",Tie,3
"['TS', '2D']",Loss,2
"['5S', '7C']",Loss,3
"['TD', '8S']",Loss,3
"['5S', 'QS']",Win,2
"['2S', '5C']",Loss,3
"['TC', 'KS']",Win,0
"['3S', 'TC']",Tie,3
"['5D', '6H']",Loss,2
"['QS', 'AH']",Win,3
"['7D', 'AC']",Win,2
"['AC', '8S']",Loss,0
"['AC', 'TS']",Win,3
"['7C', 'TD']",Loss,2
"['QC', '5S']",Win,2
"['8H', 'KD']",Loss,0
"['6H', '5H']",Win,2
"['6C', '4S']",Win,2
"['7S', '9D']",Loss,0
"['2D', 'KS']",Loss,2
"['6D', 'JS']",Win,0
"['4H', '6S']",Loss,3
"['6C', 'TC']",Win,2
"['2H', 'JD']",Loss,0
"['6S', '6H']",Win,3
"['3D', '6D']",Win,2
"['QD', 'TC']",Win,3
"['JS', 'QC']",Loss,2
"['5D', '2H']",Win,7
"['AH', '4C']",Win,2
"['3D', 'TD']",Tie,3
"['3D', '7D']",Win,2
"['6D', '6S']",Loss,2
"['8C', '6C']",Win,3
"['AH', '8D']",Loss,2
"['QD', '6C']",Loss,0
"['2S', 'QH']",Loss,3
"['8S', 'JC']",Loss,0
"['4D', '6H']",Loss,2
"['TD', '8H']",Win,2
"['KS', '2C']",Loss,2
"['2H', 'QS']",Win,2
"['3S', '3H']",Loss,3
"['AS', '5S']",Loss,0
"['KS', '6D']",Win,5
"['2H', '3S']",Win,3
"['5H', '4D']",Win,2
"['9S', '8D']",Win,3
"['3S', '5C']",Win,5
"['3D', 'JS']",Tie,3
"['QS', '2H']",Win,2
"['AS', '8D']",Win,3
"['AH', '7H']",Win,2
"['3S', '8S']",Loss,2
"['4H', '3D']",Loss,2
"['7S', '3C']",Loss,2
"['QC', 'QS']",Win,3
"['2C', '9H']",Win,3
"['2H', '8C']",Win,2
"['8C', '3C']",Win,3
"['3H', '5S']",Loss,0
"['QD', 'JS']",Loss,2
"['TS', 'TD']",Win,3
"['8S', '5S']",Win,2
"['TD', '5H']",Win,2
"['7H', 'TC']",Loss,2
"['3D', 'JC']",Loss,2
"['TH', '5S']",Loss,2
"['5C', 'JS']",Win,2
"['3S', '8C']",Win,3
"['7C', '6C']",Loss,0
"['9S', 'QC']",Loss,0
"['AD', '3C']",Win,3
"['KC', '7H']",Win,2
"['JC', '5S']",Loss,4
"['8C', '6C']",Loss,3
"['KH', 'KD']",Win,2
"['4D', 'TC']",Loss,0
"['JH', '5D']",Loss,0
"['5C', '6C']",Win,2
"['KD', 'JC']",Loss,0
"['JC', '4S']",Loss,2
"['2S', '4D']",Loss,2
"['9D', '6C']",Loss,2
"['5S', 'TH']",Loss,2
"['8H', 'JH']",Win,3
"['JS', 'KD']",Loss,3
"['3S', '4C']",Win,2
"['6C', '4S']",Win,3
"['3D', '9H']",Win,2
"['QC', 'AS']",Win,3
"['TC', 'QD']",Loss,2
"['TS', 'JH']",Win,2
"['AC', 'AH']",Win,3
"['JC', '7D']",Loss,2
"['AD', '8D']",Win,2
"['7H', '9C']",Loss,2
"['KC', '9H']",Loss,2
"['4C', '4H']",Win,2
"['6H', '8C']",Tie,6
"['QH', 'AC']",Win,7
"['7S', '8H']",Loss,2
"['QC', '4H']",Loss,2
"['2H', 'QS']",Loss,2
"['KS', '5S']",Win,2
"['AH', '9H']",Loss,3
"['QH', '8C']",Win,2
"['6D', '2H']",Loss,0
"['3S', '7D']",Loss,0
"['KS', 'TC']",Loss,2
"['JH', '2C']",Loss,0
"['8C', 'TS']",Win,2
"['TS', '5D']",Loss,0
"['6C', '4C']",Win,2
"['8H', 'AD']",Loss,2
"['4D', '7H']",Loss,2
"['4C', 'QD']",Loss,2
"['9H', 'AS']",Loss,3
"['JD', '2H']",Win,2
"['5H', 'TS']",Loss,2
